1 H_25.40000_18.11473
1258 -9.26066 0.94606
1269 8.35345 -1.07005
1271 7.43799 3.69119
1275 4.43918 4.48127
1279 6.60826 7.31109
1281 7.39534 -0.89518
1284 6.68814 7.14038
1285 3.26819 -3.65964
1287 5.96810 -2.28098
1288 -1.05432 4.42396
1292 -1.79580 2.02824
1295 -1.51805 5.18245
1296 4.77201 5.40429
1300 -5.00995 4.17109
1313 -0.34406 7.39621
1320 -0.45165 6.33057
1340 -4.25460 5.39758
1357 -8.07969 0.23185
1358 -8.48540 0.52007
1359 -7.77419 1.00643
1370 -1.40080 5.19970
1376 1.82929 3.68141
1379 -2.16394 5.52732
1380 -3.00387 5.70166
1381 -3.05281 4.98787
1383 -1.94332 5.41411
1385 2.63096 -4.88946
1417 2.89742 6.21367
1421 5.81529 0.34118
1428 1.94416 3.08730
1429 1.23953 0.41456
1441 5.51146 5.10491
1459 8.27204 0.68370
1466 6.71835 0.88900
1468 7.03686 1.28415
1474 2.05348 -3.97447
1475 3.47605 -3.21925
1479 6.26724 1.92147
1481 4.28685 4.93823
1485 1.35173 4.90467
1497 0.06852 3.87228
1498 5.61110 5.17840
1500 6.94235 6.00776
1502 5.19608 -0.08862
1504 7.48755 0.92887
1507 2.15166 0.06709
1509 1.64439 3.85475
1511 6.30956 1.24154
1514 5.94011 -1.39640
1515 3.20509 3.63727
1516 6.98868 -1.29248
1517 8.28594 -0.88558
1518 6.76106 -1.73796
1520 1.21689 2.99895
1521 4.60176 0.12613
1534 1.38211 5.12252
1544 6.08550 1.16215
1546 6.27661 1.39452
1547 1.10204 0.04303
1548 3.74130 5.70297
1552 3.95375 7.59863
1553 5.08481 7.04760
1554 3.25971 7.57016
1563 7.07868 -0.62523
1564 4.70821 6.58190
1565 1.67586 5.06228
1569 5.24144 -2.66026
1571 2.01616 2.95562
1574 5.60126 -0.11028
1575 2.06458 4.67879
1576 -0.17723 5.87865
1595 1.92864 -2.82399
1621 6.25344 -1.21489
1625 1.09916 7.11342
1630 5.16071 0.49285
1633 5.67692 -1.19110
1634 4.77013 4.29897
1635 -2.50802 5.47659
1636 1.43755 -4.72831
1674 5.56226 -2.77255
1682 1.09848 5.83931
1684 1.29541 5.97856
1686 1.19717 1.23293
1687 0.79215 6.05571
1689 0.94574 7.00197
1690 -0.48379 5.90488
1692 0.11079 6.65389
1693 1.67749 6.54051
1694 0.34907 -0.35428
1695 -0.13947 0.34151
1696 1.04447 2.98987
1699 5.39342 -0.66703
1701 4.48679 -0.28957
1702 0.58073 3.46620
1704 2.12975 2.07497
1708 5.13004 -0.87821
1710 2.31229 4.50923
1711 4.36168 -0.04629
1712 4.15043 4.91365
1713 1.16039 1.43654
1715 3.91205 6.07077
1716 8.84221 1.03122
1718 8.44236 0.74516
1723 0.36461 6.18928
1724 0.68343 5.48391
1727 4.97073 4.92364
1731 0.73061 -6.22647
1732 1.81585 -4.31629
1733 1.52785 -7.08593
1734 0.79659 -2.76845
1735 4.81871 -4.08822
1737 3.93122 -3.36108
1742 -7.54812 -1.46727
1746 1.43109 -4.11348
1751 3.32065 -3.86665
1755 -8.34936 -4.52007
1785 3.72752 -2.09303
1787 -6.32162 2.68654
1788 -11.84071 -4.53971
1790 -7.30846 -2.16145
1818 4.43965 6.36698
1835 0.98168 0.28903
1838 -4.55909 -5.03230
1839 4.04113 -7.48995
1845 -4.95348 -1.37466
1847 2.64196 -6.09134
1848 2.00183 3.84140
1849 -8.66575 -1.46168
1850 2.49781 -6.22689
1851 7.44045 -6.77213
1852 6.77037 -5.62888
1853 5.36817 5.31176
1854 6.98901 6.13386
1855 -8.72223 -4.27793
1856 -0.28287 -5.65309
1857 0.52809 -3.91164
1977 -12.63425 -7.73193
1984 7.42862 -6.59999
2010 -0.68642 -5.47964
2019 2.19090 -2.89218
-99
5 H_25.40000_32.62012
1002 -3.49811 -9.02118
1003 -10.41859 8.73023
1004 -3.87121 -12.69175
1018 -3.18161 -9.67599
1019 -10.98712 6.64885
1031 -0.53818 -5.57379
1033 0.83513 -6.04044
1035 4.05982 -8.18214
1036 -12.35634 -11.88461
1037 -0.29360 -3.91932
1038 4.81245 -5.10086
1041 10.32601 -2.69366
1052 -9.06650 5.99618
1097 -7.59136 6.00247
1100 -9.79134 8.25906
1138 -12.18567 8.07873
1139 -11.44322 3.61614
1158 -8.42368 11.45758
1159 -5.17152 14.15897
1160 -9.29210 10.71242
1161 -1.41515 -7.99459
1162 10.24403 4.46846
1166 -6.52698 14.22910
1169 -5.45987 -14.22462
1170 7.41098 8.71863
1209 6.40886 -0.57610
1210 0.18727 6.64702
1253 -5.00136 13.82491
1255 2.98974 6.98713
1256 4.84106 9.49616
1257 -2.91323 -13.25260
1259 -5.72490 6.62055
1265 -4.25865 -14.46519
1266 1.09177 14.03889
1267 5.07776 11.31154
1269 10.26438 4.16475
1271 3.91960 9.34572
1273 -11.74936 -2.19305
1275 0.84767 8.73269
1277 -4.40518 -13.57832
1280 -3.97448 14.63994
1281 8.89224 3.64090
1287 8.34052 0.65473
1288 -8.37902 3.63610
1295 -9.56050 4.38079
1296 0.38085 10.14272
1309 1.02832 4.76487
1312 7.50866 -0.12007
1313 -10.14158 8.28524
1320 -9.30896 6.73646
1338 -12.00753 2.49148
1339 0.71677 10.17975
1348 -12.23024 -3.91153
1366 -9.51721 -2.09969
1368 -8.73222 2.38586
1370 -9.41950 4.49567
1371 -10.55630 0.45432
1372 -10.61939 -2.18031
1376 -2.02410 5.59004
1379 -10.78558 4.34393
1380 -12.11911 3.91395
1381 -11.53225 2.87509
1383 -10.37227 4.35561
1391 -12.38811 -4.57198
1405 -7.59128 3.59798
1417 -3.16471 9.74462
1421 5.75564 4.04079
1422 -10.08281 -0.96130
1424 -9.95100 -0.65423
1441 1.62457 10.34412
1443 5.28151 7.90305
1453 -10.42797 -8.89510
1455 -10.06848 1.98517
1458 -0.51161 10.87262
1459 8.64618 6.41426
1460 -9.26850 -2.29547
1462 -10.83374 -8.02534
1466 6.46062 5.47476
1468 6.50421 6.22936
1479 4.96774 6.50375
1481 0.22320 9.23279
1484 -6.63145 13.45215
1485 -4.01813 6.81584
1494 0.11965 -10.94460
1501 5.56430 5.89496
1504 7.37204 6.12015
1509 -2.42313 5.68138
1511 5.62146 5.64921
1514 7.48737 1.81383
1515 -0.37634 6.51704
1516 8.67976 2.76929
1518 8.79511 1.98722
1524 -5.08870 10.09074
1534 -4.15185 7.12418
1537 -9.62903 -5.16125
1544 5.43476 5.35726
1546 5.44636 5.81175
1550 -5.28900 12.94559
1552 -4.53749 11.77651
1554 -5.45539 11.22257
1555 -11.10965 -7.90580
1556 -11.55632 -9.32896
1557 8.03069 5.71084
1559 0.99592 6.99279
1560 -3.88492 5.47922
1563 8.29028 3.76471
1564 -1.14228 11.56123
1565 -3.64379 7.28380
1568 -10.99600 -2.43058
1574 5.93277 3.22563
1575 -2.74983 7.10031
1576 -8.44083 6.35765
1578 2.35708 12.30382
1582 -0.87541 7.76426
1583 -10.10823 -8.58491
1612 -1.72458 0.64903
1615 -9.50865 -11.30960
1616 0.78828 7.62555
1617 -7.78810 -4.79576
1618 3.04115 -1.28138
1619 -8.00495 -12.53386
1620 2.99391 -10.35452
1621 7.68496 2.31566
1622 0.11056 -7.87664
1623 -9.10796 -13.04984
1624 -5.61021 -12.63800
1625 -7.88528 9.00682
1626 3.19543 -6.58390
1627 7.57452 -10.11457
1629 -7.15802 -0.04769
1630 4.77262 3.72019
1631 -9.63157 -12.68402
1633 6.97058 1.88190
1634 1.44594 8.74256
1635 -11.21531 3.99169
1637 -4.99712 0.26611
1638 11.16954 0.07557
1639 4.99021 -7.66649
1640 7.54001 -9.07073
1653 -6.03372 3.65535
1655 -11.94893 -9.68291
1656 -4.92652 2.99807
1658 2.33207 0.79881
1660 5.51981 -5.64943
1661 0.94345 -5.53364
1665 7.92293 -9.15797
1667 6.76498 -4.57738
1668 11.37657 1.25524
